ca_index,d_p_A,crystallinity,frac_a,frac_c,frac_384,com_registry,pair_corr,hotspot,phase,domain,axial_A,shell_bfac
201,15.730,0.0000,0.0000,0.0000,0.0000,0.3333,0.6667,0,intermediate,0,44.239,24.0
202,14.148,0.0389,0.0000,0.1111,0.0000,0.0000,0.0000,0,intermediate,0,17.320,24.0
203,15.385,0.0389,0.0000,0.1111,0.0000,0.0000,0.0000,0,intermediate,0,23.845,24.0
204,14.114,0.0000,0.0000,0.0000,0.0000,0.1667,0.2500,0,intermediate,0,-21.469,24.0
205,14.844,0.0000,0.0000,0.0000,0.0000,0.1250,0.2500,0,intermediate,0,14.956,24.0
206,15.905,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,intermediate,0,-16.504,24.0
207,8.954,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,28.886,24.0
208,13.909,0.0389,0.0000,0.1111,0.0000,0.1250,0.3333,0,amorphous,0,-14.000,24.0
209,13.706,0.0437,0.0000,0.1250,0.0000,0.2857,0.3333,0,amorphous,0,-8.711,24.0
210,13.291,0.0437,0.1250,0.0000,0.0000,0.1429,0.5000,0,amorphous,0,16.190,24.0
211,12.640,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,-11.499,24.0
212,13.434,0.0000,0.0000,0.0000,0.0000,0.2000,0.2500,0,amorphous,0,-16.205,24.0
213,7.707,0.0233,0.0000,0.0667,0.0000,0.1538,0.3333,0,amorphous,0,8.272,24.0
214,12.110,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,12.151,24.0
215,11.409,0.0350,0.0000,0.1000,0.0000,0.0000,0.0000,0,amorphous,0,-0.064,24.0
216,16.927,0.0437,0.1250,0.0000,0.0000,0.0000,0.0000,0,intermediate,0,50.410,24.0
217,8.202,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,22.707,24.0
218,12.454,0.0000,0.0000,0.0000,0.0000,0.4000,0.6667,1,amorphous,0,30.309,24.0
219,12.042,0.0389,0.0000,0.1111,0.0000,0.1250,0.5000,1,amorphous,0,-20.664,24.0
220,12.547,0.0000,0.0000,0.0000,0.0000,0.4000,1.0000,1,amorphous,0,0.385,24.0
221,9.537,0.0000,0.0000,0.0000,0.0000,0.1667,0.2500,0,amorphous,0,13.418,24.0
222,13.635,0.0389,0.0000,0.1111,0.0000,0.0000,0.0000,0,amorphous,0,-1.599,24.0
223,16.561,0.0000,0.0000,0.0000,0.0000,0.4000,1.0000,1,intermediate,0,-27.309,24.0
224,14.340,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,intermediate,0,-35.733,24.0
225,11.460,0.0437,0.0000,0.1250,0.0000,0.0000,0.0000,0,amorphous,0,32.994,24.0
